Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
18-24 years old,India,Some college/university study without earning a degree,11.0,3.0,Student,Not Specified,Not Specified,Not Specified,Not Specified,I have neither consider or transitioned into a new career or industry,Not Specified,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",77987.0,7.0
55-64 years old,Republic of Moldova,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",37.0,26.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have transitioned into a new career and/or industry voluntarily,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",9.0,11.0,No,"AI solutions that are almost right, but not quite",Favorable,Very poor at handling complex tasks,Not at all or minimally,75410.0,10.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,12.0,Employed,In-person,"1,000 to 4,999 employees",Other:,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",13.0,4.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Very favorable,Neither good or bad at handling complex tasks,"Yes, to a great extent",175000.0,5.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,22.0,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Other:,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,4.0,No,"AI solutions that are almost right, but not quite;Other (write in):",Very favorable,I don't use AI tools for complex tasks / I don't know,"Yes, somewhat",95000.0,7.0
35-44 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,19.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","No, I didn't spend time learning in the past year",6.0,2.0,I'm not sure,"AI solutions that are almost right, but not quite",Indifferent,Neither good or bad at handling complex tasks,Not at all or minimally,75410.0,6.0
25-34 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,17.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,0.0,No,"AI solutions that are almost right, but not quite",Very favorable,Neither good or bad at handling complex tasks,"Yes, to a great extent",139218.0,8.0
45-54 years old,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,22.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Software Development,People manager,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;Other (write in):",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",223187.0,9.0
45-54 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,28.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Computer Systems Design and Services,Individual contributor,I have transitioned into a new career and/or industry voluntarily,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly",Indifferent,I don't use AI tools for complex tasks / I don't know,"Yes, somewhat",77987.0,5.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,3.0,"Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,10.0
18-24 years old,United States of America,Some college/university study without earning a degree,11.0,5.0,Employed,In-person,"1,000 to 4,999 employees",Healthcare,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",2.0,2.0,I'm not sure,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works,Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",50000.0,7.0
18-24 years old,Ukraine,Some college/university study without earning a degree,11.0,5.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Bad at handling complex tasks,"Yes, somewhat",77987.0,3.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,9.0,Employed,Remote,100 to 499 employees,Other:,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",3.0,0.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",77517.0,7.0
45-54 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,18.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have strongly considered changing my career and/or the industry I work in,Not Specified,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,5.0,Yes,I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works,Unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,30222.0,6.0
18-24 years old,United Arab Emirates,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,7.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have transitioned into a new career and/or industry voluntarily,Not Specified,"No, I didn't spend time learning in the past year",6.0,4.0,No,I’ve become less confident in my own problem-solving,Favorable,Very poor at handling complex tasks,"Yes, somewhat",77987.0,0.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,14.0,Employed,In-person,"10,000 or more employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,5.0,No,I don’t use AI tools regularly,Very unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,265348.0,7.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,17.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Banking/Financial Services,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",13.0,9.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",125000.0,7.0
25-34 years old,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,10.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",7.0,10.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;Other (write in):",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",77760.0,8.0
35-44 years old,Ukraine,"Associate degree (A.A., A.S., etc.)",15.0,23.0,"Independent contractor, freelancer, or self-employed",Remote,"1,000 to 4,999 employees",Banking/Financial Services,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",7.0,5.0,No,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving,Indifferent,Bad at handling complex tasks,"Yes, somewhat",77411.0,8.0
25-34 years old,Not Specified,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,13.0,Employed,Remote,"1,000 to 4,999 employees",Banking/Financial Services,Individual contributor,Not Specified,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,77987.0,9.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,30.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Energy,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",7.0,5.0,No,"AI solutions that are almost right, but not quite;I don’t use AI tools regularly;Other (write in):",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,170000.0,8.0
35-44 years old,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,20.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,5.0,Yes,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks",Not at all or minimally,77987.0,8.0
35-44 years old,United States of America,Other (please specify):,19.0,30.0,Employed,Remote,100 to 499 employees,Other:,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,3.0,No,"AI solutions that are almost right, but not quite",Unsure,I don't use AI tools for complex tasks / I don't know,"Yes, to a great extent",220000.0,8.0
55-64 years old,United States of America,Some college/university study without earning a degree,45.0,45.0,Employed,In-person,Less than 20 employees,Other:,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",25.0,5.0,No,Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly,Very favorable,Very poor at handling complex tasks,Not at all or minimally,135000.0,8.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,15.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",9.0,3.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",11043.0,7.0
25-34 years old,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,13.0,Employed,Remote,100 to 499 employees,Software Development,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Very favorable,Bad at handling complex tasks,"Yes, somewhat",63713.0,8.0
18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0,5.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Other:,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",12.0,5.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",41765.0,7.0
25-34 years old,Portugal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,11.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Other:,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Very poor at handling complex tasks,"Yes, somewhat",69609.0,8.0
18-24 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,6.0,Employed,In-person,20 to 99 employees,Other:,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",4.0,0.0,No,"AI solutions that are almost right, but not quite",Indifferent,"Good, but not great at handling complex tasks",Not at all or minimally,70000.0,7.0
35-44 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,23.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Indifferent,Very poor at handling complex tasks,Not at all or minimally,77987.0,8.0
25-34 years old,United States of America,Some college/university study without earning a degree,3.0,14.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have neither consider or transitioned into a new career or industry,Not Specified,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",3.0,2.0,No,I don’t use AI tools regularly,Unfavorable,Bad at handling complex tasks,Not at all or minimally,800.0,3.0
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,5.0,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly;It’s hard to understand how or why the code works",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",77987.0,5.0
25-34 years old,Kenya,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11.0,14.0,Employed,"Hybrid (some remote, leans heavy to in-person)",Less than 20 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,10.0,No,Debugging AI-generated code is more time-consuming;Other (write in):;It’s hard to understand how or why the code works,Favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",23220.0,7.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,18.0,Employed,Remote,Less than 20 employees,Software Development,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",7.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly",Indifferent,Bad at handling complex tasks,Not at all or minimally,176500.0,9.0
18-24 years old,Canada,"Associate degree (A.A., A.S., etc.)",3.0,4.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Healthcare,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",12.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Favorable,Bad at handling complex tasks,"Yes, somewhat",43775.0,8.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,9.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Very poor at handling complex tasks,"Yes, somewhat",230000.0,7.0
18-24 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,11.0,Employed,"Hybrid (some remote, leans heavy to in-person)","10,000 or more employees",Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,1.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",4873.0,9.0
45-54 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,24.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",Energy,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",1.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",92812.0,10.0
25-34 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,11.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",Insurance,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",4.0,5.0,No,"AI solutions that are almost right, but not quite",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",21844.0,6.0
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,21.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Software Development,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",14.0,5.0,No,"AI solutions that are almost right, but not quite",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",150000.0,7.0
45-54 years old,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,35.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",3.0,0.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,Not at all or minimally,77987.0,10.0
25-34 years old,United States of America,Some college/university study without earning a degree,7.0,16.0,Employed,In-person,"10,000 or more employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,15.0,No,"AI solutions that are almost right, but not quite",Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,120000.0,9.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,10.0,Employed,Remote,500 to 999 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",5.0,5.0,No,"AI solutions that are almost right, but not quite",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",130000.0,8.0
25-34 years old,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,13.0,Employed,In-person,Less than 20 employees,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,No,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving,Very favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",77987.0,9.0
25-34 years old,United States of America,Other (please specify):,3.0,5.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Fintech,Not Specified,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",7.0,7.0,No,Other (write in):,Very favorable,Neither good or bad at handling complex tasks,"Yes, to a great extent",216000.0,10.0
35-44 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,25.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Healthcare,Not Specified,I have transitioned into a new career and/or industry voluntarily,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",7.0,5.0,Yes,"AI solutions that are almost right, but not quite",Very favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",98244.0,9.0
35-44 years old,United States of America,Other (please specify):,40.0,40.0,I prefer not to say,Not Specified,Not Specified,Not Specified,Not Specified,I have strongly considered changing my career and/or the industry I work in,Not Specified,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",40.0,40.0,Yes,Not Specified,Not Specified,Not Specified,Not Specified,1.0,5.0
35-44 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,20.0,Employed,Remote,500 to 999 employees,Fintech,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",2.0,2.0,No,"AI solutions that are almost right, but not quite;I don’t use AI tools regularly",Indifferent,Very poor at handling complex tasks,"Yes, somewhat",77987.0,8.0
25-34 years old,Latvia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,21.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",8.0,5.0,No,I don’t use AI tools regularly,Unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,51484.0,6.0
35-44 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,8.0,Employed,In-person,"1,000 to 4,999 employees",Other:,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",15.0,5.0,No,Other (write in):,Favorable,Bad at handling complex tasks,"Yes, somewhat",16383.0,6.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,14.0,Employed,Remote,"5,000 to 9,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",10.0,5.0,No,"AI solutions that are almost right, but not quite",Very favorable,Bad at handling complex tasks,"Yes, somewhat",63932.0,6.0
25-34 years old,Brazil,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8.0,12.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Government,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,5.0,No,"AI solutions that are almost right, but not quite;Other (write in):",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",47330.0,10.0
35-44 years old,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,20.0,Employed,Remote,20 to 99 employees,Software Development,People manager,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",15.0,20.0,Yes,Debugging AI-generated code is more time-consuming,Favorable,Very poor at handling complex tasks,Not at all or minimally,48726.0,3.0
35-44 years old,Uruguay,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,9.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Banking/Financial Services,Not Specified,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,3.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Neither good or bad at handling complex tasks,Not at all or minimally,77987.0,7.0
45-54 years old,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,30.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,5.0,No,"AI solutions that are almost right, but not quite",Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,77987.0,7.0
35-44 years old,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,20.0,Employed,Remote,"10,000 or more employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",10.0,12.0,No,I don’t use AI tools regularly,Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,192189.0,9.0
55-64 years old,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,50.0,Employed,Remote,"1,000 to 4,999 employees",Banking/Financial Services,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",20.0,10.0,No,"AI solutions that are almost right, but not quite;It’s hard to understand how or why the code works",Very favorable,Bad at handling complex tasks,"Yes, somewhat",46918.0,8.0
55-64 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27.0,27.0,Employed,Remote,I don’t know,Healthcare,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",4.0,0.0,No,Not Specified,Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",132000.0,7.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,10.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have strongly considered changing my career and/or the industry I work in,Not Specified,"No, I didn't spend time learning in the past year",6.0,5.0,Yes,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",77987.0,6.0
35-44 years old,Iceland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,16.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",8.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",119271.0,7.0
